date,time,worker_id,team,zone,task_type,ppe_type,worn,risk_exposure,note
2026-03-02,11:10,W-3037,A팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-02,12:20,W-3038,A팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-02,09:00,W-3039,C팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-02,12:20,W-3040,C팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-02,17:20,W-3041,D팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-02,08:20,W-3042,A팀,절단작업구역,절단작업,안전모,O,X,일반 작업 정상 수행
2026-03-02,09:20,W-3043,C팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-02,08:20,W-3044,C팀,절단작업구역,절단작업,장갑,O,O,위험노출 작업 정상 수행
2026-03-02,10:30,W-3045,A팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-02,16:40,W-3046,D팀,절단작업구역,절단작업,안전모,X,O,안전모 착용 미흡
2026-03-02,15:40,W-3047,C팀,절단작업구역,절단작업,장갑,X,O,장갑 착용 미흡
2026-03-02,17:00,W-3048,B팀,절단작업구역,절단작업,안전모,X,O,안전모 착용 미흡
2026-03-02,08:20,W-3049,D팀,자재운반구역,자재운반,안전모,O,X,일반 작업 정상 수행
2026-03-02,16:20,W-3050,C팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-02,17:20,W-3051,B팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-02,13:40,W-3052,B팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-02,08:05,W-3053,D팀,자재운반구역,자재운반,장갑,X,O,장갑 착용 미흡
2026-03-02,15:40,W-3054,C팀,자재운반구역,자재운반,장갑,O,X,일반 작업 정상 수행
2026-03-02,08:05,W-3055,D팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-02,14:40,W-3056,C팀,자재운반구역,자재운반,장갑,O,X,일반 작업 정상 수행
2026-03-02,09:00,W-3057,B팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-02,09:45,W-3058,B팀,설비점검구역,설비점검,장갑,O,X,일반 작업 정상 수행
2026-03-02,08:05,W-3059,B팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-02,14:20,W-3060,D팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-02,14:40,W-3061,C팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-02,08:20,W-3062,C팀,설비점검구역,설비점검,장갑,O,X,일반 작업 정상 수행
2026-03-02,16:00,W-3063,B팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-02,16:40,W-3064,B팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-03,09:45,W-3065,C팀,고소작업구역,고소작업,안전모,O,X,일반 작업 정상 수행
2026-03-03,15:20,W-3066,B팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-03,13:20,W-3067,B팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-03,08:40,W-3068,B팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-03,14:40,W-3069,C팀,고소작업구역,고소작업,안전모,O,X,일반 작업 정상 수행
2026-03-03,13:40,W-3070,B팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-03,10:10,W-3071,D팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-03,13:20,W-3072,B팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-03,16:00,W-3073,C팀,절단작업구역,절단작업,안전모,O,X,일반 작업 정상 수행
2026-03-03,14:40,W-3074,D팀,절단작업구역,절단작업,장갑,X,O,장갑 착용 미흡
2026-03-03,12:40,W-3075,D팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-03,14:20,W-3076,B팀,절단작업구역,절단작업,장갑,O,O,위험노출 작업 정상 수행
2026-03-03,10:30,W-3077,C팀,절단작업구역,절단작업,장갑,X,O,장갑 착용 미흡
2026-03-03,09:20,W-3078,A팀,절단작업구역,절단작업,장갑,O,O,위험노출 작업 정상 수행
2026-03-03,15:20,W-3079,B팀,절단작업구역,절단작업,장갑,O,O,위험노출 작업 정상 수행
2026-03-03,09:45,W-3080,B팀,절단작업구역,절단작업,장갑,O,X,일반 작업 정상 수행
2026-03-03,09:20,W-3081,D팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-03,16:20,W-3082,A팀,자재운반구역,자재운반,안전모,O,X,일반 작업 정상 수행
2026-03-03,16:40,W-3083,C팀,자재운반구역,자재운반,장갑,O,X,일반 작업 정상 수행
2026-03-03,15:40,W-3084,B팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-03,12:40,W-3085,B팀,자재운반구역,자재운반,안전모,X,O,안전모 착용 미흡
2026-03-03,14:00,W-3086,D팀,자재운반구역,자재운반,장갑,O,X,일반 작업 정상 수행
2026-03-03,16:40,W-3087,D팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-03,13:20,W-3088,A팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-03,08:40,W-3089,A팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-03,14:40,W-3090,C팀,설비점검구역,설비점검,안전모,O,X,일반 작업 정상 수행
2026-03-03,14:00,W-3091,C팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-03,13:20,W-3092,C팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-03,15:00,W-3093,A팀,설비점검구역,설비점검,안전모,O,X,일반 작업 정상 수행
2026-03-03,12:40,W-3094,B팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-03,14:00,W-3095,D팀,설비점검구역,설비점검,안전모,X,X,안전모 착용 미흡
2026-03-03,16:00,W-3096,D팀,설비점검구역,설비점검,장갑,O,X,일반 작업 정상 수행
2026-03-04,17:00,W-3097,A팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-04,11:10,W-3098,B팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-04,10:10,W-3099,C팀,고소작업구역,고소작업,랜야드,O,O,위험노출 작업 정상 수행
2026-03-04,15:20,W-3100,B팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-04,15:40,W-3101,A팀,고소작업구역,고소작업,랜야드,O,O,위험노출 작업 정상 수행
2026-03-04,14:20,W-3102,A팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-04,15:40,W-3103,A팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-04,12:20,W-3104,B팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-04,16:00,W-3105,D팀,절단작업구역,절단작업,안전모,O,X,일반 작업 정상 수행
2026-03-04,15:40,W-3106,A팀,절단작업구역,절단작업,안전모,O,X,일반 작업 정상 수행
2026-03-04,13:20,W-3107,D팀,절단작업구역,절단작업,안전모,O,X,일반 작업 정상 수행
2026-03-04,17:20,W-3108,A팀,절단작업구역,절단작업,장갑,O,O,위험노출 작업 정상 수행
2026-03-04,13:00,W-3109,B팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-04,13:40,W-3110,C팀,절단작업구역,절단작업,안전모,O,X,일반 작업 정상 수행
2026-03-04,13:40,W-3111,A팀,절단작업구역,절단작업,안전모,O,X,일반 작업 정상 수행
2026-03-04,14:20,W-3112,D팀,절단작업구역,절단작업,장갑,O,O,위험노출 작업 정상 수행
2026-03-04,09:00,W-3113,B팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-04,16:00,W-3114,C팀,자재운반구역,자재운반,장갑,X,O,장갑 착용 미흡
2026-03-04,15:20,W-3115,A팀,자재운반구역,자재운반,장갑,O,X,일반 작업 정상 수행
2026-03-04,15:20,W-3116,C팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-04,15:00,W-3117,C팀,자재운반구역,자재운반,장갑,O,X,일반 작업 정상 수행
2026-03-04,16:40,W-3118,C팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-04,08:20,W-3119,D팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-04,12:20,W-3120,D팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-04,08:40,W-3121,D팀,설비점검구역,설비점검,장갑,O,X,일반 작업 정상 수행
2026-03-04,11:30,W-3122,B팀,설비점검구역,설비점검,장갑,X,O,장갑 착용 미흡
2026-03-04,12:20,W-3123,D팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-04,10:30,W-3124,B팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-04,12:40,W-3125,D팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-04,16:00,W-3126,D팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-04,10:10,W-3127,C팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-04,15:00,W-3128,D팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-05,13:20,W-3129,B팀,고소작업구역,고소작업,랜야드,O,O,위험노출 작업 정상 수행
2026-03-05,16:40,W-3130,A팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-05,12:40,W-3131,A팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-05,16:40,W-3132,B팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-05,14:20,W-3133,A팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-05,16:40,W-3134,B팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-05,12:20,W-3135,B팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-05,16:20,W-3136,A팀,고소작업구역,고소작업,랜야드,O,O,위험노출 작업 정상 수행
2026-03-05,16:40,W-3137,D팀,절단작업구역,절단작업,장갑,X,O,장갑 착용 미흡
2026-03-05,15:00,W-3138,D팀,절단작업구역,절단작업,장갑,O,X,일반 작업 정상 수행
2026-03-05,14:00,W-3139,A팀,절단작업구역,절단작업,안전모,X,O,안전모 착용 미흡
2026-03-05,12:20,W-3140,B팀,절단작업구역,절단작업,안전모,O,X,일반 작업 정상 수행
2026-03-05,11:10,W-3141,B팀,절단작업구역,절단작업,안전모,X,O,안전모 착용 미흡
2026-03-05,17:00,W-3142,B팀,절단작업구역,절단작업,안전모,X,O,안전모 착용 미흡
2026-03-05,10:10,W-3143,B팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-05,09:45,W-3144,A팀,절단작업구역,절단작업,장갑,O,O,위험노출 작업 정상 수행
2026-03-05,16:40,W-3145,C팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-05,11:30,W-3146,C팀,자재운반구역,자재운반,장갑,O,X,일반 작업 정상 수행
2026-03-05,12:20,W-3147,B팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-05,13:00,W-3148,A팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-05,12:05,W-3149,D팀,자재운반구역,자재운반,장갑,X,O,장갑 착용 미흡
2026-03-05,11:30,W-3150,B팀,자재운반구역,자재운반,안전모,O,X,일반 작업 정상 수행
2026-03-05,08:40,W-3151,D팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-05,11:30,W-3152,A팀,자재운반구역,자재운반,장갑,X,O,장갑 착용 미흡
2026-03-05,09:00,W-3153,C팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-05,14:00,W-3154,D팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-05,08:40,W-3155,D팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-05,09:00,W-3156,D팀,설비점검구역,설비점검,안전모,X,O,안전모 착용 미흡
2026-03-05,09:45,W-3157,B팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-05,14:00,W-3158,A팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-05,17:20,W-3159,A팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-05,12:20,W-3160,A팀,설비점검구역,설비점검,안전모,X,O,안전모 착용 미흡
2026-03-06,15:40,W-3161,B팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-06,12:20,W-3162,C팀,고소작업구역,고소작업,랜야드,X,X,랜야드 착용 미흡
2026-03-06,12:20,W-3163,A팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-06,17:00,W-3164,A팀,고소작업구역,고소작업,랜야드,O,X,일반 작업 정상 수행
2026-03-06,14:00,W-3165,C팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-06,16:20,W-3166,C팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-06,17:00,W-3167,A팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-06,16:20,W-3168,A팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-06,08:20,W-3169,C팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-06,12:20,W-3170,A팀,절단작업구역,절단작업,안전모,X,O,안전모 착용 미흡
2026-03-06,16:00,W-3171,B팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-06,17:00,W-3172,C팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-06,12:05,W-3173,B팀,절단작업구역,절단작업,안전모,X,O,안전모 착용 미흡
2026-03-06,14:40,W-3174,C팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-06,17:00,W-3175,B팀,절단작업구역,절단작업,장갑,O,X,일반 작업 정상 수행
2026-03-06,15:00,W-3176,B팀,절단작업구역,절단작업,안전모,X,O,안전모 착용 미흡
2026-03-06,15:40,W-3177,C팀,자재운반구역,자재운반,안전모,O,X,일반 작업 정상 수행
2026-03-06,15:20,W-3178,A팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-06,17:00,W-3179,C팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-06,10:30,W-3180,D팀,자재운반구역,자재운반,안전모,X,O,안전모 착용 미흡
2026-03-06,11:30,W-3181,D팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-06,08:05,W-3182,C팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-06,10:10,W-3183,A팀,자재운반구역,자재운반,장갑,X,O,장갑 착용 미흡
2026-03-06,08:40,W-3184,A팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-06,08:40,W-3185,C팀,설비점검구역,설비점검,안전모,X,O,안전모 착용 미흡
2026-03-06,15:20,W-3186,C팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-06,09:45,W-3187,D팀,설비점검구역,설비점검,장갑,X,O,장갑 착용 미흡
2026-03-06,08:05,W-3188,C팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-06,09:20,W-3189,C팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-06,17:20,W-3190,D팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-06,12:20,W-3191,D팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-06,09:20,W-3192,D팀,설비점검구역,설비점검,장갑,O,X,일반 작업 정상 수행
2026-03-07,17:20,W-3193,A팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-07,12:40,W-3194,C팀,고소작업구역,고소작업,안전모,O,X,일반 작업 정상 수행
2026-03-07,12:05,W-3195,A팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-07,14:00,W-3196,B팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-07,13:40,W-3197,A팀,고소작업구역,고소작업,랜야드,X,X,랜야드 착용 미흡
2026-03-07,16:20,W-3198,A팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-07,08:05,W-3199,A팀,고소작업구역,고소작업,랜야드,O,X,일반 작업 정상 수행
2026-03-07,16:40,W-3200,B팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-07,13:40,W-3201,C팀,절단작업구역,절단작업,장갑,X,X,장갑 착용 미흡
2026-03-07,12:40,W-3202,B팀,절단작업구역,절단작업,장갑,O,O,위험노출 작업 정상 수행
2026-03-07,14:20,W-3203,D팀,절단작업구역,절단작업,안전모,O,X,일반 작업 정상 수행
2026-03-07,13:20,W-3204,A팀,절단작업구역,절단작업,안전모,O,X,일반 작업 정상 수행
2026-03-07,14:20,W-3205,A팀,절단작업구역,절단작업,장갑,X,O,장갑 착용 미흡
2026-03-07,12:05,W-3206,C팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-07,13:20,W-3207,A팀,절단작업구역,절단작업,안전모,X,O,안전모 착용 미흡
2026-03-07,17:00,W-3208,D팀,절단작업구역,절단작업,안전모,O,X,일반 작업 정상 수행
2026-03-07,16:40,W-3209,A팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-07,09:00,W-3210,B팀,자재운반구역,자재운반,안전모,O,X,일반 작업 정상 수행
2026-03-07,10:50,W-3211,D팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-07,11:10,W-3212,D팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-07,09:20,W-3213,B팀,자재운반구역,자재운반,장갑,O,X,일반 작업 정상 수행
2026-03-07,08:05,W-3214,C팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-07,17:20,W-3215,D팀,자재운반구역,자재운반,안전모,O,X,일반 작업 정상 수행
2026-03-07,09:00,W-3216,A팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-07,13:20,W-3217,C팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-07,08:05,W-3218,C팀,설비점검구역,설비점검,장갑,O,X,일반 작업 정상 수행
2026-03-07,16:40,W-3219,A팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-07,08:40,W-3220,D팀,설비점검구역,설비점검,안전모,O,X,일반 작업 정상 수행
2026-03-07,13:20,W-3221,C팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-07,08:05,W-3222,B팀,설비점검구역,설비점검,장갑,O,X,일반 작업 정상 수행
2026-03-07,10:30,W-3223,D팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-07,17:20,W-3224,B팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-08,14:00,W-3225,C팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-08,14:00,W-3226,C팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-08,15:40,W-3227,B팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-08,16:40,W-3228,B팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-08,11:30,W-3229,B팀,고소작업구역,고소작업,랜야드,O,O,위험노출 작업 정상 수행
2026-03-08,09:45,W-3230,A팀,고소작업구역,고소작업,랜야드,O,O,위험노출 작업 정상 수행
2026-03-08,17:00,W-3231,C팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-08,08:40,W-3232,C팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-08,09:00,W-3233,D팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-08,15:40,W-3234,B팀,절단작업구역,절단작업,안전모,X,O,안전모 착용 미흡
2026-03-08,14:40,W-3235,B팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-08,16:20,W-3236,B팀,절단작업구역,절단작업,장갑,O,O,위험노출 작업 정상 수행
2026-03-08,14:00,W-3237,D팀,절단작업구역,절단작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-08,14:20,W-3238,A팀,절단작업구역,절단작업,장갑,X,O,장갑 착용 미흡
2026-03-08,13:40,W-3239,C팀,절단작업구역,절단작업,장갑,O,O,위험노출 작업 정상 수행
2026-03-08,10:30,W-3240,D팀,절단작업구역,절단작업,장갑,O,X,일반 작업 정상 수행
2026-03-08,08:20,W-3241,B팀,자재운반구역,자재운반,장갑,O,X,일반 작업 정상 수행
2026-03-08,12:40,W-3242,B팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-08,08:40,W-3243,B팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-08,11:30,W-3244,A팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-08,13:20,W-3245,C팀,자재운반구역,자재운반,장갑,O,O,위험노출 작업 정상 수행
2026-03-08,15:40,W-3246,C팀,자재운반구역,자재운반,장갑,X,O,장갑 착용 미흡
2026-03-08,13:20,W-3247,C팀,자재운반구역,자재운반,안전모,O,O,위험노출 작업 정상 수행
2026-03-08,14:00,W-3248,A팀,자재운반구역,자재운반,장갑,X,O,장갑 착용 미흡
2026-03-08,09:20,W-3249,D팀,설비점검구역,설비점검,안전모,O,X,일반 작업 정상 수행
2026-03-08,14:20,W-3250,D팀,설비점검구역,설비점검,장갑,O,X,일반 작업 정상 수행
2026-03-08,14:20,W-3251,B팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-08,12:05,W-3252,B팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-08,13:40,W-3253,D팀,설비점검구역,설비점검,장갑,X,O,장갑 착용 미흡
2026-03-08,16:20,W-3254,C팀,설비점검구역,설비점검,안전모,O,O,위험노출 작업 정상 수행
2026-03-08,08:05,W-3255,C팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-08,12:40,W-3256,D팀,설비점검구역,설비점검,장갑,O,O,위험노출 작업 정상 수행
2026-03-09,15:40,W-3257,C팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-09,13:40,W-3258,B팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-09,13:40,W-3259,C팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-09,14:40,W-3260,A팀,고소작업구역,고소작업,안전모,X,O,안전모 착용 미흡
2026-03-09,16:40,W-3261,B팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
2026-03-09,13:00,W-3262,A팀,고소작업구역,고소작업,안전모,O,O,위험노출 작업 정상 수행
2026-03-09,13:00,W-3263,B팀,고소작업구역,고소작업,랜야드,X,O,랜야드 착용 미흡
